RSRP,RSRQ,RSSI,SNR,DL_bitrate,UL_bitrate,path
0,-113.0,-13.0,-94,2.0,223.0,7.0,bus
1,-113.0,-13.0,-90,2.0,357.0,10.0,bus
2,-113.0,-15.0,-94,4.0,156.0,7.0,bus
3,-113.0,-15.0,-94,4.0,413.0,11.0,bus
4,-119.0,-17.0,-94,-2.0,78.0,3.0,bus
5,-119.0,-17.0,-94,-2.0,1107.0,26.0,bus
8,-117.0,-18.0,-94,-6.0,145.0,7.0,bus
9,-117.0,-18.0,-94,-6.0,235.0,11.0,bus
10,-120.0,-19.0,-94,-7.0,536.0,13.0,bus
11,-120.0,-19.0,-94,-3.0,536.0,13.0,bus
12,-120.0,-19.0,-94,-7.0,257.0,5.0,bus
13,-119.0,-19.0,-94,-5.0,178.0,8.0,bus
14,-119.0,-19.0,-94,-5.0,68.0,3.0,bus
15,-119.0,-18.0,-94,-9.0,319.0,70.0,bus
16,-119.0,-18.0,-94,-9.0,113.0,30.0,bus
17,-119.0,-17.0,-94,-6.0,348.0,21.0,bus
18,-119.0,-17.0,-94,-6.0,287.0,8.0,bus
19,-118.0,-17.0,-94,-6.0,413.0,18.0,bus
20,-118.0,-17.0,-94,-6.0,279.0,11.0,bus
21,-118.0,-17.0,-94,-6.0,257.0,11.0,bus
22,-118.0,-17.0,-94,-6.0,246.0,11.0,bus
23,-119.0,-18.0,-94,-6.0,156.0,6.0,bus
24,-119.0,-18.0,-94,-6.0,279.0,10.0,bus
25,-118.0,-17.0,-94,-5.0,234.0,7.0,bus
26,-118.0,-17.0,-94,-5.0,357.0,8.0,bus
27,-120.0,-17.0,-94,-5.0,246.0,5.0,bus
28,-120.0,-17.0,-94,-5.0,167.0,4.0,bus
29,-120.0,-17.0,-94,-6.0,234.0,9.0,bus
30,-120.0,-17.0,-94,-6.0,380.0,17.0,bus
31,-120.0,-17.0,-94,-5.0,391.0,8.0,bus
32,-120.0,-17.0,-94,-5.0,313.0,10.0,bus
33,-119.0,-18.0,-94,-5.0,357.0,14.0,bus
34,-119.0,-18.0,-94,-5.0,324.0,7.0,bus
35,-118.0,-18.0,-94,-6.0,234.0,6.0,bus
36,-118.0,-18.0,-94,-6.0,458.0,16.0,bus
37,-120.0,-18.0,-94,-6.0,380.0,8.0,bus
38,-120.0,-18.0,-94,-6.0,424.0,8.0,bus
39,-120.0,-18.0,-94,-6.0,447.0,9.0,bus
40,-120.0,-18.0,-94,-6.0,402.0,11.0,bus
41,-118.0,-17.0,-94,-6.0,447.0,9.0,bus
42,-118.0,-17.0,-94,-6.0,391.0,9.0,bus
43,-118.0,-18.0,-94,-6.0,592.0,28.0,bus
44,-118.0,-18.0,-94,-6.0,357.0,8.0,bus
45,-118.0,-17.0,-94,-6.0,369.0,12.0,bus
46,-118.0,-17.0,-94,-6.0,315.0,15.0,bus
47,-119.0,-18.0,-94,-6.0,290.0,13.0,bus
48,-119.0,-18.0,-94,-6.0,503.0,25.0,bus
49,-119.0,-18.0,-94,-6.0,251.0,7.0,bus
100,-100.0,-16.0,-86,-5.0,458.0,19.0,bus
101,-100.0,-16.0,-85,-5.0,2605.0,80.0,bus
102,-102.0,-15.0,-88,-2.0,1990.0,41.0,bus
